The sum: 1499950.000000
The list edges: 
956 651 50.000000
618 956 50.000000
1098 464 50.000000
1514 702 50.000000
1064 1514 50.000000
1450 1064 50.000000
1411 1450 50.000000
783 1411 50.000000
53 783 50.000000
279 53 50.000000
1208 53 50.000000
1359 53 50.000000
1516 340 50.000000
1517 639 50.000000
1443 1517 50.000000
331 1443 50.000000
1518 59 50.000000
1519 661 50.000000
1522 121 50.000000
1523 506 50.000000
1103 1523 50.000000
1525 769 50.000000
93 1525 50.000000
123 93 50.000000
1526 156 50.000000
179 1526 50.000000
729 1526 50.000000
1527 203 50.000000
1529 191 50.000000
1531 890 50.000000
1116 1531 50.000000
1532 997 50.000000
1534 1255 50.000000
1535 1486 50.000000
921 1535 50.000000
1536 298 50.000000
527 1536 50.000000
1537 269 50.000000
1070 1537 50.000000
1539 924 50.000000
1540 565 50.000000
1542 463 50.000000
1543 1057 50.000000
1194 1543 50.000000
515 1194 50.000000
575 515 50.000000
1548 1448 50.000000
405 1548 50.000000
1549 997 50.000000
1551 514 50.000000
1553 549 50.000000
1398 1553 50.000000
1554 769 50.000000
1267 1554 50.000000
1555 44 50.000000
1363 1555 50.000000
1370 1363 50.000000
1559 823 50.000000
1560 355 50.000000
587 1560 50.000000
1087 587 50.000000
1088 587 50.000000
437 1088 50.000000
219 437 50.000000
621 1088 50.000000
316 621 50.000000
1501 1087 50.000000
891 1501 50.000000
1558 1088 50.000000
1561 382 50.000000
1562 199 50.000000
792 1562 50.000000
1563 1061 50.000000
1155 1563 50.000000
1564 342 50.000000
523 1564 50.000000
345 523 50.000000
1565 1446 50.000000
1483 1565 50.000000
1566 431 50.000000
1567 666 50.000000
1569 680 50.000000
1045 1569 50.000000
1571 1150 50.000000
1572 634 50.000000
1575 407 50.000000
354 1575 50.000000
1107 1575 50.000000
1578 79 50.000000
15 1578 50.000000
1291 15 50.000000
1580 862 50.000000
1586 1491 50.000000
1587 1146 50.000000
1590 948 50.000000
1592 911 50.000000
723 1592 50.000000
1593 1007 50.000000
254 1593 50.000000
1031 254 50.000000
1594 1393 50.000000
1596 415 50.000000
1598 377 50.000000
1599 1316 50.000000
1600 911 50.000000
1601 561 50.000000
277 1601 50.000000
936 1601 50.000000
1392 277 50.000000
390 1392 50.000000
349 390 50.000000
622 1392 50.000000
258 622 50.000000
419 622 50.000000
690 622 50.000000
1604 746 50.000000
1606 41 50.000000
519 1606 50.000000
758 519 50.000000
1607 986 50.000000
1034 1607 50.000000
559 1034 50.000000
1026 1034 50.000000
1345 1026 50.000000
1608 1257 50.000000
674 1608 50.000000
266 674 50.000000
790 674 50.000000
745 790 50.000000
1102 790 50.000000
1386 674 50.000000
1610 1054 50.000000
1143 1610 50.000000
364 1143 50.000000
1611 660 50.000000
100 1611 50.000000
1205 100 50.000000
180 1205 50.000000
110 180 50.000000
1614 50 50.000000
1615 1149 50.000000
1369 1615 50.000000
812 1369 50.000000
1616 1161 50.000000
124 1616 50.000000
1617 983 50.000000
1618 1252 50.000000
1619 643 50.000000
1620 176 50.000000
1621 1563 50.000000
367 1621 50.000000
808 367 50.000000
1622 778 50.000000
511 1622 50.000000
